Farm size (litres),Region,Solids profile,Seasonality,Price option,Attribute,Months,Value
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.492699048
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,48.69911482
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.138588736
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,44.95263563
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.535016086
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,50.22826879
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.763994454
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,49.21811416
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.041178803
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,55.10997631
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.536135643
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,49.02491519
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.1868706
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,45.30557249
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.561262613
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,50.42933378
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.7899543
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,49.4068699
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.067027666
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,55.31219548
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.564359311
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,49.23660953
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.218040163
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,45.53447355
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.597913296
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,50.70991251
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.819846024
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,49.62444276
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.098085976
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,55.55518551
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.592680233
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,49.44903334
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.238648103
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,45.68469243
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.641279306
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,51.04390231
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.866637843
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,49.96483164
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.143524023
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,55.91093637
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.635767257
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,49.77221171
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.278998536
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,45.98084994
"500,000 to 750,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.671916538
"500,000 to 750,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,51.28062192
"500,000 to 750,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.896801716
"500,000 to 750,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,50.18483773
"500,000 to 750,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,7.176108803
"500,000 to 750,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,56.16487828
"500,000 to 750,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.666449884
"500,000 to 750,000",Western VIC,Average,Average,Minimum,c/litre,Season,50.00234971
"500,000 to 750,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.310168703
"500,000 to 750,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,46.20886513
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.71991721
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,51.64805366
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.945157647
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,50.53628156
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,7.223167063
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,56.53417815
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.714783666
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,c/litre,Season,50.41817826
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.358641723
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,46.5638231
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.45025214
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,49.580833
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.688301622
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,48.66840406
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,6.987842312
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,54.69218057
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.5004455
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,c/litre,Season,48.80881295
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.061065133
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,44.38427991
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.466281158
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,49.70323661
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.702689776
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,48.77275795
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,6.997923437
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,54.77074023
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.517119174
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,c/litre,Season,48.9340078
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.083970445
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,44.55201147
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.499601259
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,49.95960348
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.74741893
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,49.09827032
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,7.028080665
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,55.00591977
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.554245705
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,c/litre,Season,49.2127736
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.125131092
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,44.85342235
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.541770303
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,50.28202161
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.792020129
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,49.42295845
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,7.069747651
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,55.33253934
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.597790644
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,c/litre,Season,49.53973224
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.169508347
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,45.17843265
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.568084864
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,50.48359916
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.82068584
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,49.63149926
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,7.101424039
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,55.58024709
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.627312864
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,c/litre,Season,49.76140082
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.200089801
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,45.40276039
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.598271401
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,50.71582841
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.847239078
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,49.8246711
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,7.129273557
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,55.79857789
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.658611537
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,c/litre,Season,49.99640795
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.238177374
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,45.68123647
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Dec-Feb,6.648186599
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,c/litre,Dec-Feb,51.09880837
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Jul-Aug,6.894363002
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,c/litre,Jul-Aug,50.16749086
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Mar-Jun,7.177899104
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,c/litre,Mar-Jun,56.17835955
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Season,6.700584946
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,c/litre,Season,50.3115667
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,$/kgMS,Sep-Nov,6.265487445
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,c/litre,Sep-Nov,45.88122064
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.676463183
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,51.31787218
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.914540783
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,50.31406449
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.210539963
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,56.43556093
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.729798535
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,c/litre,Season,50.53091791
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.299157487
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,46.12777846
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.724535397
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,51.68550971
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.972437774
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,50.7352571
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.254381603
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,56.77834026
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.77973642
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,c/litre,Season,51.21589196
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.34979283
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,46.49857026
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.458574661
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,49.64826766
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.694995828
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,48.71762257
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.023525932
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,54.97221181
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.558954653
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,c/litre,Season,49.54804908
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.059122238
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,44.37005024
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.47043331
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,49.7393219
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.706967918
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,48.80473304
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.035135149
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,55.0630643
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.574015537
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,c/litre,Season,49.66182291
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.082582662
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,44.54184742
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.50982814
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,50.04101148
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.74917934
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,49.11160839
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.079329451
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,55.40989195
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.615100904
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,c/litre,Season,49.97219246
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.119973219
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,44.81608153
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.555991497
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,50.39508544
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.797292126
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,49.46152015
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.127838113
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,55.7900785
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.661424823
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,c/litre,Season,50.32213539
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.162577029
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,45.12763029
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.584300982
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,50.61246989
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.826160712
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,49.67153877
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.151494628
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,55.97554591
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.688396698
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,c/litre,Season,50.52588795
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.191268748
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,45.33773425
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.61038331
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,50.81397226
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.855935519
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,49.88825697
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.180607887
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,c/litre,Mar-Jun,56.20294988
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Season,6.717939239
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,c/litre,Season,50.74905999
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Sep-Nov,6.224498972
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,c/litre,Sep-Nov,45.58111968
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Dec-Feb,6.655909027
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,c/litre,Dec-Feb,51.16226176
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Jul-Aug,6.899522129
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,c/litre,Jul-Aug,50.20521578
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,$/kgMS,Mar-Jun,7.227954123
