Farm size (litres),Region,Solids profile,Seasonality,Price option,Months,% of litres
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"500,000 to 750,000",Western VIC,Average,Average,Minimum,May,0.064055917
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"500,000 to 750,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,May,0.064055917
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"750,000 to 1,000,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,May,0.064055917
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"1,000,000 to 1,500,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,May,0.064055917
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"1,500,000 to 2,000,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,May,0.064055917
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"2,000,000 to 2,500,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,May,0.064055917
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"2,500,000 to 3,000,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,May,0.064055917
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"3,000,000 to 4,000,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,May,0.064055917
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"4,000,000 to 5,000,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Apr,0.053821252
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Aug,0.099270706
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Dec,0.093011197
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Feb,0.059288209
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Jan,0.076429119
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Jul,0.090172873
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Jun,0.077081596
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Mar,0.056639004
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,May,0.064055917
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Nov,0.105893557
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Oct,0.116765468
"5,000,000 to 10,000,000",Western VIC,Average,Average,Minimum,Sep,0.107571101
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"500,000 to 750,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"750,000 to 1,000,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Oct,0.099250648
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Minimum,Sep,0.096813991
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Apr,0.080731879
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Aug,0.089343635
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Dec,0.083710078
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Feb,0.071145851
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Jan,0.072607663
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Jul,0.076646942
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Jun,0.07508061
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Mar,0.079294606
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,May,0.080069896
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Minimum,Nov,0.095304201
